MATLAB index,fpga,bank_index,in_bank_index,x,y
569,0,0,189,1.4210854715202004e-14,121.2435565298214
570,0,0,181,-9.999999999999986,121.2435565298214
571,0,0,173,-19.999999999999986,121.2435565298214
572,0,0,165,-29.999999999999986,121.2435565298214
573,0,0,157,-39.999999999999986,121.2435565298214
574,0,0,149,-49.999999999999986,121.2435565298214
575,0,0,141,-59.999999999999986,121.2435565298214
576,0,0,133,-69.99999999999999,121.2435565298214
577,0,0,134,-74.99999999999999,112.58330249197701
578,0,0,135,-79.99999999999999,103.92304845413263
579,0,0,128,-85.0,95.26279441628824
580,0,0,129,-90.0,86.60254037844385
581,0,0,130,-95.0,77.94228634059947
582,0,0,131,-100.0,69.28203230275508
583,0,0,12,-105.0,60.6217782649107
584,0,0,13,-110.0,51.96152422706631
585,0,0,14,-115.0,43.301270189221924
586,0,0,15,-120.0,34.64101615137754
587,0,0,8,-125.0,25.980762113533157
588,0,0,9,-130.0,17.32050807568877
589,0,0,10,-135.0,8.660254037844386
590,0,0,11,-140.0,0.0
591,2,0,237,-135.0,-8.660254037844386
592,2,0,229,-130.0,-17.32050807568877
593,2,0,221,-125.0,-25.980762113533157
594,2,0,213,-120.0,-34.64101615137754
595,2,0,205,-115.0,-43.301270189221924
596,2,0,197,-110.0,-51.96152422706631
597,2,0,189,-105.0,-60.6217782649107
598,2,0,181,-100.0,-69.28203230275508
599,2,0,173,-95.0,-77.94228634059947
600,2,0,165,-90.0,-86.60254037844385
601,2,0,157,-85.0,-95.26279441628824
602,2,0,149,-80.00000000000001,-103.92304845413263
603,2,0,141,-75.00000000000001,-112.58330249197701
604,2,0,133,-70.00000000000001,-121.2435565298214
605,2,0,134,-60.000000000000014,-121.2435565298214
606,2,0,135,-50.000000000000014,-121.2435565298214
